,章名称,名称cn,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
12,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(市街) 中级,物資調達(市街)_中級,20,敌人1|龙牙兵||剑|9|11279,敌人1|龙牙兵||剑|8|5802,敌人1|阿维斯布隆魔偶|魔偶|狂|7|10802,敌人2|龙牙兵||剑|26|51072,敌人1|阿维斯布隆魔偶|魔偶|狂|10|27832,敌人1|龙牙兵||剑|15|27651,,,
13,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(市街) 上级,物資調達(市街)_上級,30,敌人1|阿维斯布隆魔偶|魔偶|狂|26|18334,,敌人1|龙牙兵||剑|26|20428,敌人1|阿维斯布隆魔偶|魔偶|狂|28|19682,敌人1|阿维斯布隆魔偶|魔偶|狂|28|22962,敌人1|阿维斯布隆魔偶|魔偶|狂|30|24884,敌人2|龙牙兵||剑|51|101358,,敌人1|阿维斯布隆魔偶|魔偶|狂|32|52368
14,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(市街) 超级,物資調達(市街)_超級,40,敌人1|阿维斯布隆魔偶|魔偶|狂|42|24373,,敌人1|阿维斯布隆魔偶|魔偶|狂|43|22440,敌人1|阿维斯布隆魔偶|魔偶|狂|45|36479,敌人1|阿维斯布隆魔偶|魔偶|狂|43|28175,敌人1|阿维斯布隆魔偶|魔偶|狂|43|28225,敌人2|龙牙兵||剑|63|138564,敌人1|龙牙兵||剑|48|52456,敌人1|阿维斯布隆魔偶|魔偶|狂|50|56282
15,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(丘) 中级,物資調達(丘)_中級,20,敌人1|哥布林|破坏大地之物|杀|7|8291,,敌人1|哥布林|破坏大地之物|杀|8|9655,敌人1|豹人|弄脏大地之物|杀|13|18780,敌人1|哥布林|破坏大地之物|杀|10|12406,敌人1|豹人|弄脏大地之物|杀|14|20176,,敌人2|噬魂者|玷污大地之物|杀|18|61316,
16,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(丘) 上级,物資調達(丘)_上級,30,敌人1|哥布林|破坏大地之物|杀|22|14313,,敌人1|哥布林|破坏大地之物|杀|23|15944,敌人1|豹人|弄脏大地之物|杀|21|24621,敌人1|哥布林|破坏大地之物|杀|25|19822,敌人1|豹人|弄脏大地之物|杀|22|25764,敌人2|噬魂者|玷污大地之物|杀|35|109589,,敌人1|豹人|弄脏大地之物|杀|35|51142
17,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(丘) 超级,物資調達(丘)_超級,40,敌人1|豹人|弄脏大地之物|杀|30|19392,敌人1|豹人|弄脏大地之物|杀|30|19469,敌人1|哥布林|破坏大地之物|杀|35|17600,敌人1|哥布林|破坏大地之物|杀|32|32239,敌人1|哥布林|破坏大地之物|杀|31|31296,敌人1|豹人|弄脏大地之物|杀|35|40733,敌人2|噬魂者|玷污大地之物|杀|48|163906,,敌人1|哥布林|破坏大地之物|杀|42|66335
18,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(平原) 中级,物資調達(平原)_中級,20,敌人1|阿维斯布隆魔偶|魔偶|狂|11|10612,敌人1|阿维斯布隆魔偶|魔偶|狂|14|17398,敌人1|阿维斯布隆魔偶|魔偶|狂|11|10544,敌人1|阿维斯布隆魔偶|魔偶|狂|13|18229,敌人2|伊夫利塔|熔炉之焰|狂|15|53200,敌人1|阿维斯布隆魔偶|魔偶|狂|16|20181,,,
19,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(平原) 上级,物資調達(平原)_上級,30,敌人1|阿维斯布隆魔偶|魔偶|狂|31|18142,,敌人1|阿维斯布隆魔偶|魔偶|狂|32|18703,,敌人1|阿维斯布隆魔偶|魔偶|狂|33|26969,敌人1|阿维斯布隆魔偶|魔偶|狂|35|28745,敌人1|阿维斯布隆魔偶|魔偶|狂|33|38528,敌人2|伊夫利塔|熔炉之焰|狂|30|89101,敌人1|阿维斯布隆魔偶|魔偶|狂|38|40169
20,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(平原) 超级,物資調達(平原)_超級,40,敌人1|阿维斯布隆魔偶|魔偶|狂|40|20874,,敌人1|阿维斯布隆魔偶|魔偶|狂|45|23451,敌人1|阿维斯布隆魔偶|魔偶|狂|46|34603,敌人1|阿维斯布隆魔偶|魔偶|狂|46|34869,敌人1|阿维斯布隆魔偶|魔偶|狂|47|43486,敌人1|阿维斯布隆魔偶|魔偶|狂|37|51624,敌人2|伊夫利塔|熔炉之焰|狂|42|129774,敌人1|阿维斯布隆魔偶|魔偶|狂|38|52970
21,复刻版：ApocryphaInheritance of Glory -Triumphal-关卡配置,物资筹备(林) 中级,物資調達(林)_中級,20,敌人1|那伽|逐至深渊之蛇|弓|4|7761,,敌人1|蛇女|诱往黑暗之蛇|弓|6|9037,敌人1|蛇女|诱往黑暗之蛇|弓|9|15764,敌人1|那伽|逐至深渊之蛇|弓|7|11048,敌人1|那伽|逐至深渊之蛇|弓|6|10801,,敌人2|凝视者|追逐眼球|弓|16|75726,
